"","Total Votes","County","County Office","Candidate","Party","Candidate Type","Election Votes","Percent"
"1458","4,497","Madison County","Race: Sheriff","BOBBY ADAMS","R","N","4,497",100
"1459","4,515","Madison County","Race: Tax Assessor-Collector","KAREN M. LANE","R","I","4,515",100
"1460","2,987","Marion County","Race: Constable Pct. 1","ED BAIRD","R","N","2,987",100
"1461","1,047","Marion County","Race: Constable Pct. 2","JEFF GREER","R","N","666",63.6103151862464
"1462","1,047","Marion County","Race: Constable Pct. 2","TASHIA N. WILSON","D","I","381",36.3896848137536
"1463","1,031","Marion County","Race: County Commissioner Pct. 1","J. R. ASHLEY","R","I","1,031",100
"1464","1,053","Marion County","Race: County Commissioner Pct. 3","COREY WATSON","D","N","472",44.8243114909782
"1465","1,053","Marion County","Race: County Commissioner Pct. 3","RALPH MEISENHEIMER","R","N","581",55.1756885090218
"1466","3,669","Marion County","Race: District/County Attorney","ANGELA ""ANGIE"" SMOAK","R","I","3,669",100
"1467","738","Marion County","Race: Justice of the Peace Pct. 2","ALAN BIDDY","R","N","738",100
"1468","4,703","Marion County","Race: Sheriff","DAVID CAPPS","R","N","3,488",74.1654263236232
"1469","4,703","Marion County","Race: Sheriff","DAVID QUADA JR","D","N","1,215",25.8345736763768
"1470","3,286","Marion County","Race: Tax Assessor-Collector","KAREN JONES","D","I","3,286",100
"1471","1","Martin County","Race: County Attorney","JAMES J. NAPPER","R","I","1",100
"1472","1","Martin County","Race: County Commissioner Pct. 1","KENNY STEWART","R","I","1",100
"1473","1","Martin County","Race: County Commissioner Pct. 3","BOBBY HOLLAND","R","I","1",100
"1474","1863/9934","Martin County","Race: District Attorney 118th Judicial District","HARDY L. WILKERSON","R","I","1863/9934",NA
"1475","1","Martin County","Race: Sheriff","JAMES B. ""BRAD"" INGRAM","R","I","1",100
"1476","1","Martin County","Race: Tax Assessor-Collector","KATHY HULL","R","I","1",100
"1477","1","Mason County","Race: County Attorney","REBEKAH WHITWORTH","R","I","1",100
"1478","1","Mason County","Race: County Commissioner Pct. 1","REGGIE LOEFFLER","R","I","1",100
"1479","1","Mason County","Race: County Commissioner Pct. 3","BUDDY SCHUESSLER","R","I","1",100
"1480","1","Mason County","Race: Sheriff/Tax Assessor-Collector","JOE LANCASTER","R","N","1",100
"1481","3,197","Matagorda County","Race: Constable Pct. 1","DOUG SCHOPPE","R","N","3,197",100
"1482","2,261","Matagorda County","Race: Constable Pct. 2","KEITH SULLIVAN","R","N","2,261",100
"1483","1,674","Matagorda County","Race: Constable Pct. 3","JESSE ALVAREZ JR","D","I","1,674",100
"1484","2,906","Matagorda County","Race: Constable Pct. 4","DAVID MILES","R","N","1,750",60.2202339986235
"1485","2,906","Matagorda County","Race: Constable Pct. 4","PEDRO MEDINA SR","D","I","1,156",39.7797660013765
"1486","757","Matagorda County","Race: Constable Pct. 6","RICKY BORT","R","N","757",100
"1487","10,512","Matagorda County","Race: County Attorney","JENNIFER CHAU","R","N","10,512",100
"1488","3,234","Matagorda County","Race: County Commissioner Pct. 1","EDWARD ""BUBBA"" COOK","R","N","3,234",100
"1489","2,220","Matagorda County","Race: County Commissioner Pct. 3","GREGORY SEAMAN","D","N","0",0
"1490","2,220","Matagorda County","Race: County Commissioner Pct. 3","TROY SHIMEK","R","N","2,220",100
"1491","8269/8269","Matagorda County","Race: District Attorney 23rd Judicial District","STEVEN E. REIS","D","I","8269/8269",NA
"1492","9,650","Matagorda County","Race: Sheriff","FRANK ""SKIPPER"" OSBORNE","R","I","9,650",100
"1493","10,632","Matagorda County","Race: Tax Assessor-Collector","BECKY BARRETT COOK","R","N","10,632",100
"1494","1","Maverick County","Race: Constable Pct. 1","OSCAR ""RAM"" RAMOS","D","N","1",100
"1495","1","Maverick County","Race: Constable Pct. 2","ALBERTO ""BETO"" DE LA TORRE","D","N","1",100
"1496","1","Maverick County","Race: Constable Pct. 3 Place 1","MARIO HERNANDEZ","D","I","1",100
"1497","1","Maverick County","Race: Constable Pct. 3 Place 2","SAMUEL ""SAM"" CHACON","D","I","1",100
"1498","1","Maverick County","Race: Constable Pct. 4","JOE ""MIKE"" BEATTIE","D","N","1",100
"1499","1","Maverick County","Race: County Attorney","JAIME ""AJ"" IRACHETA","D","N","1",100
"1500","1","Maverick County","Race: County Commissioner Pct. 1","GERARDO ""JERRY"" MORALES","D","I","1",100
"1501","1","Maverick County","Race: County Commissioner Pct. 3","OLGA RAMOS","D","N","1",100
"1502","1/5779","Maverick County","Race: District Attorney 293rd Judicial District","ROBERTO SERNA","D","I","1/5779",NA
"1503","1","Maverick County","Race: Sheriff","TOM SCHMERBER","D","I","1",100
"1504","1","Maverick County","Race: Tax Assessor-Collector","ISAMARI SANCHEZ VILLARREAL","D","I","1",100
"1505","5,471","Medina County","Race: Constable Pct. 1","ROBERT ""BOBBY"" TSCHIRHART","R","I","5,471",100
"1506","5,658","Medina County","Race: Constable Pct. 2","JIM PRZYBYLSKI","R","I","5,658",100
"1507","3,093","Medina County","Race: Constable Pct. 3","STEPHEN DUFFY","R","I","3,093",100
"1508","3,829","Medina County","Race: Constable Pct. 4","MALCOLM WATSON","R","I","3,829",100
"1509","5,469","Medina County","Race: County Commissioner Pct. 1","TIMOTHY (TIM) NEUMAN","R","I","5,469",100
"1510","3,915","Medina County","Race: County Commissioner Pct. 3","DAVID LYNCH","R","I","2,431",62.0945083014049
"1511","3,915","Medina County","Race: County Commissioner Pct. 3","GUILLERMO ""MEMO"" GARCIA","D","N","1,484",37.9054916985951
"1512","18,021","Medina County","Race: Criminal District Attorney","MARK P. HABY","R","N","18,021",100
"1513","5,745","Medina County","Race: Justice of the Peace Pct. 2","BILL T TSCHIRHART JR","R","N","5,745",100
"1514","18,327","Medina County","Race: Sheriff","RANDY R. BROWN","R","I","18,327",100
"1515","18,449","Medina County","Race: Tax Assessor-Collector","MELISSA HARTMANN LUTZ","R","I","18,381",99.6314163369288
"1516","1","Menard County","Race: Constable","LEE CALLAN","R","I","1",100
"1517","1","Menard County","Race: County Attorney","LUKE W. DAVIS","R","N","1",100
"1518","1","Menard County","Race: County Commissioner Pct. 1","FRANK E DAVIS","R","N","1",100
"1519","1","Menard County","Race: County Commissioner Pct. 3","ED KEITH","R","I","1",100
"1520","991","Menard County","Race: County Judge","BRANDON CORBIN","R","N","785",79.212916246216
"1521","991","Menard County","Race: County Judge","IAN JACOBY","D","N","206",20.7870837537841
"1522","1","Menard County","Race: County Treasurer","RON WOOD","R","I","1",100
"1523","1","Menard County","Race: Sheriff","BUCK MILLER","R","I","1",100
"1524","1","Menard County","Race: Tax Assessor-Collector","TIM POWELL","R","I","1",100
"1525","1","Midland County","Race: Constable Pct. 1","DOUGLAS M. BROWN","R","N","1",100
"1526","1","Midland County","Race: Constable Pct. 2","MARK WOHLEKING","R","I","1",100
"1527","1","Midland County","Race: Constable Pct. 3","LARRY WOODRUFF","D","I","1",100
"1528","1","Midland County","Race: Constable Pct. 4","JAMIE BETH HALL","R","N","1",100
"1529","1","Midland County","Race: County Attorney","RUSSELL MALM","R","I","1",100
"1530","1","Midland County","Race: County Commissioner Pct. 1","SCOTT RAMSEY","R","I","1",100
"1531","1","Midland County","Race: County Commissioner Pct. 3","LUIS SANCHEZ","D","I","1",100
"1532","1/1","Midland County","Race: District Attorney 142nd Judicial District","LAURA A. NODOLF","R","I","1/1",NA
"1533","1","Midland County","Race: Sheriff","DAVID CRINER","R","N","1",100
"1534","1","Midland County","Race: Tax Assessor-Collector","KAREN HOOD","R","I","1",100
"1535","2,097","Milam County","Race: Constable Pct. 1","JAMES PRATT","R","N","2,097",100
"1536","1,782","Milam County","Race: Constable Pct. 2","CHARLES L. ""CHARLIE"" WEST","R","I","1,782",100
"1537","2,475","Milam County","Race: Constable Pct. 3","JAY BEATHARD","R","I","2,475",100
"1538","2,667","Milam County","Race: Constable Pct. 4","MICHAEL MOEHLING JR","R","I","1,930",72.365954255718
"1539","2,667","Milam County","Race: Constable Pct. 4","SAMMY PICKETT","D","N","737",27.634045744282
"1540","2,085","Milam County","Race: County Commissioner Pct. 1","HENRY ""HUB"" HUBNIK","R","N","2,085",100
"1541","2,472","Milam County","Race: County Commissioner Pct. 3","ARTHUR NEAL","R","N","2,472",100
"1542","8,275","Milam County","Race: District/County Attorney","BILL TORREY","R","I","8,275",100
"1543","8,580","Milam County","Race: Sheriff","CHRIS WHITE","R","I","8,580",100
"1544","8,621","Milam County","Race: Tax Assessor-Collector","SHERRY MUECK","R","I","8,621",100
"1545","1","Mills County","Race: County Attorney","GERALD HALE","R","I","1",100
"1546","1","Mills County","Race: County Commissioner Pct. 1","MIKE WRIGHT","R","I","1",100
"1547","1","Mills County","Race: County Commissioner Pct. 3","DALE PARTIN","R","N","1",100
"1548","2171/16196","Mills County","Race: District Attorney 35th Judicial District","MICHEAL MURRAY","R","I","2171/16196",NA
"1549","1","Mills County","Race: Sheriff","CLINT HAMMONDS","R","I","1",100
"1550","1","Mills County","Race: Tax Assessor-Collector","LORI KING","R","I","1",100
"1551","1","Mitchell County","Race: County Attorney","STERLING BURLESON II","R","I","1",100
"1552","1","Mitchell County","Race: County Commissioner Pct. 1","DENNIS JONES","R","N","1",100
"1553","1","Mitchell County","Race: County Commissioner Pct. 3","JESUS MUNOZ","R","I","1",100
"1554","2199/8465","Mitchell County","Race: District Attorney 32nd Judicial District","RICKY NOLAN THOMPSON","R","I","2199/8465",NA
"1555","1","Mitchell County","Race: Sheriff","PATRICK TOOMBS","R","I","1",100
"1556","1","Mitchell County","Race: Tax Assessor-Collector","SYLVIA CLANTON","R","I","1",100
"1557","3,474","Montague County","Race: Constable Pct. 1","STEFANIE HORTON","R","I","3,474",100
"1558","5,730","Montague County","Race: Constable Pct. 2","JERRY DEMOSS","R","N","5,730",100
"1559","9,189","Montague County","Race: County Attorney","CLABURN RIDDLE","R","I","9,189",100
"1560","2,298","Montague County","Race: County Commissioner Pct. 1","ROY DARDEN","R","I","2,298",100
"1561","2,022","Montague County","Race: County Commissioner Pct. 3","MARK MURPHEY","R","I","2,022",100
"1562","1","Montague County","Race: County Judge","KEVIN BENTON","R","N","1",100
"1563","9125/13398","Montague County","Race: District Attorney 97th Judicial District","CASEY POLHEMUS","R","I","9125/13398",NA
"1564","1","Montague County","Race: Justice of the Peace Pct. 2","JACK PIGG","R","N","1",100
"1565","9,278","Montague County","Race: Sheriff","MARSHALL THOMAS","R","I","9,278",100
"1566","9,262","Montague County","Race: Tax Assessor-Collector","KATHY PHILLIPS","R","I","9,262",100
"1567","41,811","Montgomery County","Race: Constable Pct. 1","PHILIP CASH","R","I","41,811",100
"1568","24,585","Montgomery County","Race: Constable Pct. 2","GENE DEFOREST","R","I","24,585",100
"1569","83,153","Montgomery County","Race: Constable Pct. 3","RYAN GABLE","R","I","83,153",100
"1570","30,623","Montgomery County","Race: Constable Pct. 4","KENNETH ROWDY HAYDEN","R","I","30,623",100
"1571","36,974","Montgomery County","Race: Constable Pct. 5","CHRIS JONES","R","I","36,974",100
"1572","214,532","Montgomery County","Race: County Attorney","B. D.  GRIFFIN","R","I","214,532",100
"1573","59,388","Montgomery County","Race: County Commissioner Pct. 1","MIKE MIDLER","D","N","12,473",21.0025594396174
"1574","59,388","Montgomery County","Race: County Commissioner Pct. 1","ROBERT WALKER","R","N","46,915",78.9974405603826
"1575","71,559","Montgomery County","Race: County Commissioner Pct. 3","JAMES NOACK","R","I","47,879",66.9084252155564
"1576","71,559","Montgomery County","Race: County Commissioner Pct. 3","LORE BREITMEYER JONES","D","N","23,680",33.0915747844436
"1577","215489/215489","Montgomery County","Race: District Attorney 9th Judicial District","BRETT W. LIGON","R","I","215489/215489",NA
"1578","259,443","Montgomery County","Race: Sheriff","MAHER HUSSEINI","D","N","60,683",23.3897233689096
"1579","259,443","Montgomery County","Race: Sheriff","RAND HENDERSON","R","I","198,760",76.6102766310904
"1580","218,375","Montgomery County","Race: Tax Assessor-Collector","TAMMY J. MCRAE","R","I","218,375",100
"1581","5,093","Moore County","Race: County Attorney","SCOTT M. HIGGINBOTHAM","R","I","5,093",100
"1582","1,266","Moore County","Race: County Commissioner Pct. 1","J. DANIEL GARCIA","R","I","1,266",100
"1583","784","Moore County","Race: County Commissioner Pct. 3","MICHAEL DEE VAUGHAN","R","I","784",100
"1584","5094/9569","Moore County","Race: District Attorney 69th Judicial District","ERIN LANDS","R","N","5094/9569",NA
"1585","5,144","Moore County","Race: Sheriff","MORGAN W. HIGHTOWER","R","N","5,144",100
"1586","5,144","Moore County","Race: Tax Assessor-Collector","CHRIS RIVERA","R","N","5,144",100
"1587","4,157","Morris County","Race: Constable","BILLY WEATHERFORD","R","N","4,157",100
"1588","1,124","Morris County","Race: County Commissioner Pct. 1","GREGORY FRAZIER","D","N","625",55.6049822064057
"1589","1,124","Morris County","Race: County Commissioner Pct. 1","STEVEN THOMPSON","R","N","499",44.3950177935943
"1590","1,168","Morris County","Race: County Commissioner Pct. 3","MICHAEL CLAIR","D","I","1,168",100
"1591","4,252","Morris County","Race: District/County Attorney","RICKY SHELTON","R","N","4,252",100
"1592","3,606","Morris County","Race: Sheriff","JACK MARTIN","D","I","2,144",59.4564614531337
"1593","3,606","Morris County","Race: Sheriff","TOMMY HUNT","R","N","1,462",40.5435385468663
"1594","4,253","Morris County","Race: Tax Assessor-Collector","KIMBERLY THOMASSON","R","I","4,253",100
"1595","1","Motley County","Race: County Attorney","BEN TOM EDWARDS","R","I","1",100
"1596","1","Motley County","Race: County Commissioner Pct. 1","DOUGLAS N. CAMPBELL","R","I","1",100
"1597","1","Motley County","Race: County Commissioner Pct. 3","FRANKLIN JAMESON","R","I","1",100
"1598","584/3863","Motley County","Race: District Attorney 110th Judicial District","WADE JACKSON","R","I","584/3863",NA
"1599","1","Motley County","Race: Sheriff","ROBERT FISK","R","I","1",100
"1600","1","Motley County","Race: Tax Assessor-Collector","RONDA MILLER","R","N","1",100
"1601","1","Nacogdoches County","Race: Constable Pct. 1","WILLIAM SOWELL","R","I","1",100
"1602","1","Nacogdoches County","Race: Constable Pct. 2","CLARENCE YARBROUGH","D","I","1",100
"1603","1","Nacogdoches County","Race: Constable Pct. 3","ROGER DUDLEY","R","I","1",100
"1604","1","Nacogdoches County","Race: Constable Pct. 4","DAVID STONE","R","I","1",100
"1605","1","Nacogdoches County","Race: County Attorney","JOHN FLEMING","R","I","1",100
"1606","1","Nacogdoches County","Race: County Commissioner Pct. 1","JERRY DON WILLIAMSON","R","I","1",100
"1607","1","Nacogdoches County","Race: County Commissioner Pct. 3","ROBIN DAWLEY","R","I","1",100
"1608","1/1","Nacogdoches County","Race: District Attorney 145th Judicial District","ANDREW JONES","R","N","1/1",NA
"1609","1","Nacogdoches County","Race: Sheriff","JASON BRIDGES","R","I","1",100
"1610","1","Nacogdoches County","Race: Tax Assessor-Collector","KIM MORTON","R","I","1",100
"1611","4,409","Navarro County","Race: Constable Pct. 1","MIKE DAVIS","R","I","4,409",100
"1612","3,805","Navarro County","Race: Constable Pct. 2","RAYCHAUN BALLARD","R","N","3,805",100
"1613","3,682","Navarro County","Race: Constable Pct. 3","BOBBY RACHEL","R","I","3,682",100
"1614","5,072","Navarro County","Race: Constable Pct. 4","KIPP THOMAS","R","I","5,072",100
"1615","4,425","Navarro County","Race: County Commissioner Pct. 1","JASON GRANT","R","I","4,425",100
"1616","3,691","Navarro County","Race: County Commissioner Pct. 3","EDDIE MOORE","R","I","3,691",100
"1617","16,923","Navarro County","Race: Criminal District Attorney","WILL THOMPSON","R","N","16,923",100
"1618","17,040","Navarro County","Race: Sheriff","ELMER TANNER","R","I","17,040",100
"1619","17,159","Navarro County","Race: Tax Assessor-Collector","MIKE DOWD","R","I","17,159",100
"1620","5,466","Newton County","Race: Constable Pct. 1","ODIS LANE","R","I","5,466",100
"1621","726","Newton County","Race: Constable Pct. 2","JAMES D. MITCHELL","R","N","726",100
"1622","1,521","Newton County","Race: Constable Pct. 3","LEWIS ""SONNY"" WHITE","R","N","1,521",100
"1623","1,445","Newton County","Race: County Commissioner Pct. 1","DANNY BENTSEN","R","N","1,445",100
"1624","1,459","Newton County","Race: County Commissioner Pct. 3","GARY ""TICK"" FOMBY","R","I","1,459",100
"1625","5,308","Newton County","Race: Sheriff","ROBERT BURBY","R","N","5,308",100
"1626","5,310","Newton County","Race: Tax Assessor-Collector","MELISSA BURKS","R","I","5,310",100
"1627","4,639","Nolan County","Race: Constable","STEPHEN SMITH","R","I","4,639",100
"1628","4,698","Nolan County","Race: County Attorney","SAMANTHA MORROW","R","N","4,698",100
"1629","1,098","Nolan County","Race: County Commissioner Pct. 1","TERRY WILLMAN","R","I","1,098",100
"1630","1,179","Nolan County","Race: County Commissioner Pct. 3","TOMMY WHITE","R","I","1,179",100
"1631","4663/8465","Nolan County","Race: District Attorney 32nd Judicial District","RICKY NOLAN THOMPSON","R","I","4663/8465",NA
"1632","4,691","Nolan County","Race: Sheriff","DAVID WARREN","R","I","4,691",100
"1633","4,785","Nolan County","Race: Tax Assessor-Collector","KATHY BOWEN","R","I","4,785",100
"1634","42,882","Nueces County","Race: Constable Pct. 1","JAMES ROBERTSON","R","N","18,250",42.5586493167296
